Objects,Exp_t_ch1,Exp_t_ch2,Exp_t_ch3,Exp_t_ch4,l (rad),b (rad),l (deg),b (deg),RA (rad),DEC (rad),RA (deg),DEC (deg),Notes,fileName,DOI 
,12183.856,12183.856,12183.856,12183.856,0.788629658,-1.063806925,45.185151,-60.951647,5.985704481,-0.311948418,342.9556042,-17.87332778,strong dips in ch1 ,jw03368-c1012_t029_miri,
Pluto,29814.624,29814.624,29814.624,29814.624,0.350204311,-0.472975378,20.065229,-27.099493,5.285034737,-0.394282409,302.810185,-22.59071799,strong dips in ch1 ,jw01658-o001_t001_miri,
2MASS J04202144+2813491_sky,9890.424,9890.424,9890.424,9890.424,2.952334438,-0.26779524,169.156303,-15.343537,1.135861004,0.49283153,65.08004167,28.23716667,,jw01751-o015_t009_miri,
2MASS J04202144+2813491,19780.848,19780.848,19780.848,19780.848,2.952526232,-0.267772568,169.167292,-15.342238,1.136023378,0.49271212,65.089345,28.230325,,jw01751-o020_t008_miri,
HOPS 153,13760.592,13760.592,13760.592,13760.592,3.682007013,-0.34142808,210.963462,-19.562388,1.474586724,-0.124191182,84.48759583,-7.115630556,,jw01802-o017_t017_miri,
2022acko,10320.444,10320.444,10320.444,10320.444,3.632616011,-0.963857085,208.133566,-55.224943,0.871135281,-0.338510832,49.912375,-19.395242,,jw02122-o001_t002_miri,
,30961.332,30961.332,30961.332,30961.332,4.613423157,-0.757592189,264.329676,-43.406835,1.133984048,-0.959024923,64.9725,-54.94808056,,jw02114-o004_t003_miri,
2022acko,21500.928,21500.928,21500.928,21500.928,3.63261601,-0.9638571,208.133566,-55.224943,0.87113528,-0.3385108,49.912375,-19.395242,,jw02122-o003_t002_miri,
,10611.756,10611.756,10611.756,10611.756,4.285041884,0.85626087,245.514815,49.060134,2.780802362,0.030401483,159.328239,1.741876645,,jw02155-o006_t006_miri,
Phoenix Cluster BCG,33254.772,33254.772,33254.772,33254.772,5.92765268,-1.210234237,339.629481,-69.341314,6.216563799,-0.745608923,356.1828688,-42.72024444,,jw02439-o001_t001_miri,
