Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
!!!Protostellar Binaries!!!		UNKNOWN	True	3130.248	51.97897876651155	30.76344027277746	jw01236_20240701t000531_pool.csv	False	jw01236-o004_t004_miri
Protostellar Binaries		EXTENDED	False	1981.38	51.40142009812348	30.754168227438292	jw01236_20240701t000531_pool.csv	False	jw01236-o003_t003_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HD 32297	POINT	False	3696.348	75.61433647103608	7.460887761935635	jw01282_20241001t050842_pool.csv	False	jw01282-o035_t058_miri
NGC 346: Star Formation at Low Metallicity in the Small Magellanic Cloud	Y544	UNKNOWN	False	466.212	14.800899839088993	-72.16623175871698	jw01227_20240905t085642_pool.csv	False	jw01227-o020_t021_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DL-Tau	POINT	False	1831.524	68.41286623497834	25.343818217760436	jw01282_20241001t050842_pool.csv	False	jw01282-o014_t019_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DN-Tau	POINT	False	3696.348	68.86414080392517	24.249575278435888	jw01282_20241001t050842_pool.csv	False	jw01282-o011_t016_miri
!!!Characterizing the TWA 27 system!!!		POINT	False	2530.8359999999993	181.88901055416383	-39.548561029134284	jw01270_20240701t170658_pool.csv	False	jw01270-o001_t002_miri
Thermal Emission Spectroscopy of beta Pictoris' Prototypical Debris Disk	* bet Pic	EXTENDED	False	6327.0960000000005	86.82162269223446	-51.065581514325494	jw01294_20240702t195458_pool.csv	False	jw01294-o002_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	CX-Tau	POINT	False	3696.348	63.69946877053109	26.802935162548202	jw01282_20241001t050842_pool.csv	False	jw01282-o063_t062_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	EXTENDED	False	715.962	62.325928984494716	30.75017960350956	jw01238_20240701t040247_pool.csv	False	jw01238-o017_t014_miri
!!!Radiative Feedback from Massive Stars as Traced by Multiband Imaging and Spectroscopic Mosaics!!!		EXTENDED	True	1565.1239999999996	81.83077911432473	-5.534560110131753	jw01288_20240906t141950_pool.csv	False	jw01288-o012_t013_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	BKLT J162813-243139.BG	EXTENDED	True	924.087	247.05185038297404	-24.530972882787236	jw01282_20241001t050842_pool.csv	False	jw01282-o027_t063_miri
Sparse Spectral Mapping of NGC 1514	NGC-1514	EXTENDED	False	715.962	62.316160954370915	30.772507506150752	jw01238_20240701t040247_pool.csv	False	jw01238-o013_t011_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DR-Tau	POINT	False	1964.7240000000004	71.77591296336473	16.97849002607079	jw01282_20241001t050842_pool.csv	False	jw01282-o007_t012_miri
